rok,vek,uzemi,uzemi_naz,oblast,oblast_naz,kraj,kraj_naz,okres,okres_naz,typ,pocet_ms,pocet_obyv
2022,2,CZ0,Česká republika,CZ01,Praha,CZ010,Hlavní město Praha,CZ0100,Praha,ms,3254,NA
2022,3,CZ0,Česká republika,CZ01,Praha,CZ010,Hlavní město Praha,CZ0100,Praha,ms,11745,NA
2022,4,CZ0,Česká republika,CZ01,Praha,CZ010,Hlavní město Praha,CZ0100,Praha,ms,12929,NA
2022,5,CZ0,Česká republika,CZ01,Praha,CZ010,Hlavní město Praha,CZ0100,Praha,ms,13534,NA
2022,6,CZ0,Česká republika,CZ01,Praha,CZ010,Hlavní město Praha,CZ0100,Praha,ms,2048,NA
2022,2,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0201,Benešov,ms,296,NA
2022,3,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0201,Benešov,ms,957,NA
2022,4,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0201,Benešov,ms,1104,NA
2022,5,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0201,Benešov,ms,1221,NA
2022,6,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0201,Benešov,ms,163,NA
2022,2,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0202,Beroun,ms,305,NA
2022,3,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0202,Beroun,ms,1089,NA
2022,4,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0202,Beroun,ms,1146,NA
2022,5,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0202,Beroun,ms,1161,NA
2022,6,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0202,Beroun,ms,179,NA
2022,2,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0203,Kladno,ms,440,NA
2022,3,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0203,Kladno,ms,1432,NA
2022,4,CZ0,Česká republika,CZ02,Střední Čechy,CZ020,Středočeský kraj,CZ0203,Kladno,ms,1708,NA
